92 1061 1 977985339
92 2919 1 977985339
92 1271 1 977985532
92 3591 1 977985746
92 45 1 977985797
92 1589 1 977985930
92 2023 0 977985959
92 1611 1 977986238
92 365 0 977986324
92 580 0 977986365
92 2252 0 977986413
92 3478 0 977986508
92 2420 0 977986546
933 527 0 977987959
933 969 1 977988097
933 39 1 977988182
933 2020 0 977988182
933 3699 1 977988400
933 1639 0 977988561
933 3004 0 977989039
933 1835 0 977989212
933 3257 0 977989242
933 3705 0 977989481
933 1304 0 977990018
933 2858 0 977990018
933 1270 1 977990190
933 2791 0 977990251
933 3671 0 977990316
933 2174 0 977990372
933 1784 1 977990569
933 3175 0 977990569
933 2355 0 977990630
933 2407 1 977990805
933 1580 1 977990879
933 2011 0 977990904
933 2124 0 977990953
933 2012 0 977991192
933 153 0 977991372
933 2622 0 977991794
421 1221 0 977993237
44 2355 0 978008948
947 457 0 978012456
947 1265 0 978012501
44 3793 0 978012524
44 2997 0 978013182
160 1784 0 978014345
160 1923 1 978014368
37 3751 0 978024438
286 2279 0 978025534
947 541 1 978032226
947 1196 1 978032226
234 3730 1 978035581
234 3751 1 978035601
234 3703 1 978036619
234 1946 0 978036704
234 3725 0 978036704
234 3699 0 978036885
234 3671 0 978037461
234 3701 0 978037540
447 1266 1 978038892
447 318 1 978038942
447 593 1 978038962
447 2028 1 978038962
653 593 1 978038962
447 2324 1 978038989
447 3147 1 978038989
447 1704 1 978039002
447 608 1 978039125
447 2268 1 978039125
447 628 0 978039169
447 3418 0 978039169
653 628 0 978039169
447 1721 0 978039191
447 3255 0 978039191
447 337 1 978039213
447 1694 0 978039213
447 1584 0 978039213
447 34 0 978039240
447 2291 1 978039257
447 1095 0 978039257
447 11 0 978039324
447 508 0 978039345
447 1094 0 978039345
447 1673 0 978039360
447 292 0 978039407
653 21 1 978039423
447 454 1 978039450
653 454 1 978039450
447 3107 1 978039466
447 832 1 978039553
447 105 0 978039553
653 832 1 978039553
447 381 0 978039732
447 1589 0 978039732
447 3246 1 978039782
447 3528 1 978039782
447 24 0 978039807
447 3257 0 978039892
653 3257 0 978039892
447 1727 0 978039899
447 2688 0 978039929
447 2702 0 978040002
447 724 0 978040041
653 1515 0 978040107
447 457 1 978040396
447 589 1 978040396
447 2571 0 978040396
653 457 1 978040396
653 589 1 978040396
653 2571 1 978040396
837 587 0 978044341
837 356 0 978044437
837 2396 0 978044548
837 39 0 978044644
837 377 0 978044714
837 357 0 978044738
837 708 0 978044771
837 1569 0 978044916
837 1246 0 978045488
837 1777 0 978045545
837 2145 0 978045635
837 1573 0 978045658
837 2431 0 978045675
837 1247 1 978045768
837 141 0 978045807
837 500 0 978045823
837 1917 0 978045850
837 648 0 978045876
194 2355 1 978045907
837 1088 0 978045910
837 47 1 978046106
837 34 0 978046225
837 1 0 978046225
837 364 0 978046270
837 586 0 978046369
837 2082 0 978046407
837 455 0 978046465
837 1380 0 978046582
377 3072 0 978046861
837 296 0 978047091
377 2112 1 978048824
447 1408 1 978048834
447 1608 1 978048834
447 1610 1 978048834
447 6 0 978048834
447 377 0 978048834
653 1610 1 978048834
653 6 0 978048834
653 377 0 978048834
653 1608 0 978048834
447 733 1 978048858
447 380 0 978048858
447 2353 0 978048858
653 2353 0 978048858
653 733 0 978048858
447 2916 1 978048885
447 3256 1 978048885
653 849 0 978048885
653 2916 0 978048885
653 3256 0 978048885
447 494 1 978048977
653 165 1 978048977
653 1370 1 978048977
447 353 0 978049020
447 2334 0 978049020
447 2617 0 978049020
447 1573 0 978049020
653 353 0 978049020
653 2617 0 978049020
653 2273 0 978049042
447 1597 1 978049085
447 2023 1 978049085
447 736 0 978049085
653 736 0 978049085
447 1479 0 978049116
447 2763 0 978049116
653 1479 0 978049116
653 2763 0 978049116
447 2723 0 978049142
447 1833 0 978049186
653 95 0 978049226
447 1917 1 978049273
447 1552 0 978049315
653 3697 0 978049449
447 1037 0 978049491
653 1037 0 978049491
653 1831 0 978049491
447 1 1 978050004
447 2321 0 978050004
447 2355 0 978050004
447 597 1 978050020
447 1265 0 978050037
447 2302 0 978050046
447 588 1 978050066
447 39 0 978050092
447 3174 0 978050092
653 3174 0 978050092
447 1777 0 978050109
447 539 1 978050128
447 587 0 978050142
447 3450 1 978050165
447 231 0 978050186
447 1485 1 978050211
447 2424 0 978050211
447 543 0 978050267
653 543 1 978050267
447 1569 1 978050313
447 1441 0 978050313
447 333 0 978050334
447 1732 0 978050349
83 3793 1 978054217
447 50 1 978058351
447 47 0 978058351
653 50 1 978058351
653 47 0 978058351
447 858 1 978058623
447 1225 1 978058623
947 912 1 978058793
947 1204 1 978058793
947 1262 0 978058793
447 260 1 978058808
447 1196 1 978058808
447 1198 1 978058808
947 1250 1 978058818
947 920 0 978058818
947 2067 0 978058861
447 349 1 978058870
653 349 0 978058870
947 1208 0 978058885
447 2046 1 978058969
447 2987 0 978058969
447 2167 0 978059046
447 3175 0 978059046
447 1049 0 978059214
947 899 0 978059730
947 919 0 978059730
947 914 0 978059754
947 1288 0 978059792
947 1304 0 978060543
947 910 0 978060808
204 1221 1 978060873
947 1307 0 978060880
483 1270 1 978060982
956 1270 1 978060982
